Highway,County,Freight count location,Day of Date1,Percentage Change
I-5,Pierce,I-5 at Pierce/King county line,"April 28, 2020",-36%
I-5,Pierce,I-5 at Lakewood,"April 28, 2020",-37%
I-5,Pierce,I-5 at Pierce/King county line,"April 27, 2020",4%
I-5,Pierce,I-5 at Lakewood,"April 27, 2020",-35%
I-5,Pierce,I-5 at Pierce/King county line,"April 26, 2020",-32%
I-5,Pierce,I-5 at Lakewood,"April 26, 2020",-24%
I-5,Pierce,I-5 at Pierce/King county line,"April 25, 2020",-31%
I-5,Pierce,I-5 at Lakewood,"April 25, 2020",-19%
I-5,Pierce,I-5 at Pierce/King county line,"April 24, 2020",-21%
I-5,Pierce,I-5 at Lakewood,"April 24, 2020",-23%
I-5,Pierce,I-5 at Pierce/King county line,"April 23, 2020",-26%
I-5,Pierce,I-5 at Lakewood,"April 23, 2020",-21%
I-5,Pierce,I-5 at Pierce/King county line,"April 22, 2020",-29%
I-5,Pierce,I-5 at Lakewood,"April 22, 2020",-19%
I-5,Pierce,I-5 at Pierce/King county line,"April 21, 2020",-11%
I-5,Pierce,I-5 at Lakewood,"April 21, 2020",-19%
I-5,Pierce,I-5 at Pierce/King county line,"April 20, 2020",-17%
I-5,Pierce,I-5 at Lakewood,"April 20, 2020",-22%
I-5,Pierce,I-5 at Pierce/King county line,"April 19, 2020",-18%
I-5,Pierce,I-5 at Lakewood,"April 19, 2020",-22%
I-5,Pierce,I-5 at Pierce/King county line,"April 18, 2020",-22%
I-5,Pierce,I-5 at Lakewood,"April 18, 2020",-26%
I-5,Pierce,I-5 at Pierce/King county line,"April 17, 2020",2%
I-5,Pierce,I-5 at Lakewood,"April 17, 2020",-28%
I-5,Pierce,I-5 at Pierce/King county line,"April 16, 2020",-6%
I-5,Pierce,I-5 at Lakewood,"April 16, 2020",-23%
I-5,Pierce,I-5 at Pierce/King county line,"April 15, 2020",-19%
I-5,Pierce,I-5 at Lakewood,"April 15, 2020",-17%
I-5,Pierce,I-5 at Pierce/King county line,"April 14, 2020",-13%
I-5,Pierce,I-5 at Lakewood,"April 14, 2020",-16%
I-5,Pierce,I-5 at Pierce/King county line,"April 13, 2020",-10%
I-5,Pierce,I-5 at Lakewood,"April 13, 2020",-24%
I-5,Pierce,I-5 at Pierce/King county line,"April 12, 2020",-36%
I-5,Pierce,I-5 at Lakewood,"April 12, 2020",-43%
I-5,Pierce,I-5 at Pierce/King county line,"April 11, 2020",-23%
I-5,Pierce,I-5 at Lakewood,"April 11, 2020",-38%
I-5,Pierce,I-5 at Pierce/King county line,"April 10, 2020",-25%
I-5,Pierce,I-5 at Lakewood,"April 10, 2020",-31%
I-5,Pierce,I-5 at Pierce/King county line,"April 9, 2020",-2%
I-5,Pierce,I-5 at Lakewood,"April 9, 2020",-28%
I-5,Pierce,I-5 at Pierce/King county line,"April 8, 2020",-26%
I-5,Pierce,I-5 at Lakewood,"April 8, 2020",-22%
I-5,Pierce,I-5 at Pierce/King county line,"April 7, 2020",-7%
I-5,Pierce,I-5 at Lakewood,"April 7, 2020",-26%
I-5,Pierce,I-5 at Pierce/King county line,"April 6, 2020",-30%
I-5,Pierce,I-5 at Lakewood,"April 6, 2020",-26%
I-5,Pierce,I-5 at Pierce/King county line,"April 5, 2020",-51%
I-5,Pierce,I-5 at Lakewood,"April 5, 2020",-33%
I-5,Pierce,I-5 at Pierce/King county line,"April 4, 2020",-38%
I-5,Pierce,I-5 at Lakewood,"April 4, 2020",-41%
I-5,Pierce,I-5 at Pierce/King county line,"April 3, 2020",-28%
I-5,Pierce,I-5 at Lakewood,"April 3, 2020",-28%
I-5,Pierce,I-5 at Pierce/King county line,"April 2, 2020",-32%
I-5,Pierce,I-5 at Lakewood,"April 2, 2020",-18%
I-5,Pierce,I-5 at Pierce/King county line,"April 1, 2020",-24%
I-5,Pierce,I-5 at Lakewood,"April 1, 2020",-19%
I-5,Pierce,I-5 at Pierce/King county line,"March 31, 2020",-42%
I-5,Pierce,I-5 at Lakewood,"March 31, 2020",-18%
I-5,Pierce,I-5 at Pierce/King county line,"March 30, 2020",-43%
I-5,Pierce,I-5 at Lakewood,"March 30, 2020",-16%
I-5,Pierce,I-5 at Pierce/King county line,"March 29, 2020",-50%
I-5,Pierce,I-5 at Lakewood,"March 29, 2020",-19%
I-5,Pierce,I-5 at Pierce/King county line,"March 28, 2020",-55%
I-5,Pierce,I-5 at Lakewood,"March 28, 2020",-30%
I-5,Pierce,I-5 at Pierce/King county line,"March 27, 2020",-37%
I-5,Pierce,I-5 at Lakewood,"March 27, 2020",-17%
I-5,Pierce,I-5 at Pierce/King county line,"March 26, 2020",-31%
I-5,Pierce,I-5 at Lakewood,"March 26, 2020",-17%
I-5,Pierce,I-5 at Pierce/King county line,"March 25, 2020",-27%
I-5,Pierce,I-5 at Lakewood,"March 25, 2020",-8%
I-5,Pierce,I-5 at Pierce/King county line,"March 24, 2020",-9%
I-5,Pierce,I-5 at Lakewood,"March 24, 2020",-8%
I-5,Pierce,I-5 at Pierce/King county line,"March 23, 2020",-32%
I-5,Pierce,I-5 at Lakewood,"March 23, 2020",-10%
I-5,Pierce,I-5 at Pierce/King county line,"March 22, 2020",-34%
I-5,Pierce,I-5 at Lakewood,"March 22, 2020",-5%
I-5,Pierce,I-5 at Pierce/King county line,"March 21, 2020",-27%
I-5,Pierce,I-5 at Lakewood,"March 21, 2020",-2%
I-5,Pierce,I-5 at Pierce/King county line,"March 20, 2020",-7%
I-5,Pierce,I-5 at Lakewood,"March 20, 2020",-9%
I-5,Pierce,I-5 at Pierce/King county line,"March 19, 2020",-8%
I-5,Pierce,I-5 at Lakewood,"March 19, 2020",-6%
I-5,Pierce,I-5 at Pierce/King county line,"March 18, 2020",-17%
I-5,Pierce,I-5 at Lakewood,"March 18, 2020",-5%
I-5,Pierce,I-5 at Pierce/King county line,"March 17, 2020",-1%
I-5,Pierce,I-5 at Lakewood,"March 17, 2020",1%
I-5,Pierce,I-5 at Pierce/King county line,"March 16, 2020",-11%
I-5,Pierce,I-5 at Lakewood,"March 16, 2020",-4%
I-5,Pierce,I-5 at Pierce/King county line,"March 15, 2020",-12%
I-5,Pierce,I-5 at Lakewood,"March 15, 2020",-5%
I-5,Pierce,I-5 at Pierce/King county line,"March 14, 2020",-1%
I-5,Pierce,I-5 at Lakewood,"March 14, 2020",-1%
I-5,Pierce,I-5 at Pierce/King county line,"March 13, 2020",-24%
I-5,Pierce,I-5 at Lakewood,"March 13, 2020",0%
I-5,Pierce,I-5 at Pierce/King county line,"March 12, 2020",-14%
I-5,Pierce,I-5 at Lakewood,"March 12, 2020",-6%
I-5,Pierce,I-5 at Pierce/King county line,"March 11, 2020",-24%
I-5,Pierce,I-5 at Lakewood,"March 11, 2020",0%
I-5,Pierce,I-5 at Pierce/King county line,"March 10, 2020",11%
I-5,Pierce,I-5 at Lakewood,"March 10, 2020",-4%
I-5,Pierce,I-5 at Pierce/King county line,"March 9, 2020",-7%
I-5,Pierce,I-5 at Lakewood,"March 9, 2020",-8%
I-5,Pierce,I-5 at Pierce/King county line,"March 8, 2020",12%
I-5,Pierce,I-5 at Lakewood,"March 8, 2020",8%
I-5,Pierce,I-5 at Pierce/King county line,"March 7, 2020",1%
I-5,Pierce,I-5 at Lakewood,"March 7, 2020",0%
I-5,Pierce,I-5 at Pierce/King county line,"March 6, 2020",-22%
I-5,Pierce,I-5 at Lakewood,"March 6, 2020",-2%
I-5,Pierce,I-5 at Pierce/King county line,"March 5, 2020",-11%
I-5,Pierce,I-5 at Lakewood,"March 5, 2020",3%
I-5,Pierce,I-5 at Pierce/King county line,"March 4, 2020",1%
I-5,Pierce,I-5 at Lakewood,"March 4, 2020",-7%
I-5,Pierce,I-5 at Pierce/King county line,"March 3, 2020",-18%
I-5,Pierce,I-5 at Lakewood,"March 3, 2020",1%
I-5,Pierce,I-5 at Pierce/King county line,"March 2, 2020",-8%
I-5,Pierce,I-5 at Lakewood,"March 2, 2020",-4%
I-5,Pierce,I-5 at Pierce/King county line,"March 1, 2020",4%
I-5,Pierce,I-5 at Lakewood,"March 1, 2020",7%
I-5,King,I-5 at King/Snohomish county line,"June 3, 2020",-18%
I-5,King,I-5 at Northgate,"June 3, 2020",-19%
I-5,King,I-5 at Seattle/SLU (Boylston),"June 3, 2020",-36%
I-5,King,I-5 at SODO (Holden),"June 3, 2020",-30%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"June 3, 2020",-29%
I-5,King,I-5 at King/Snohomish county line,"June 2, 2020",-18%
I-5,King,I-5 at Northgate,"June 2, 2020",-20%
I-5,King,I-5 at Seattle/SLU (Boylston),"June 2, 2020",-28%
I-5,King,I-5 at SODO (Holden),"June 2, 2020",-28%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"June 2, 2020",-22%
I-5,King,I-5 at King/Snohomish county line,"June 1, 2020",-20%
I-5,King,I-5 at Northgate,"June 1, 2020",-18%
I-5,King,I-5 at Seattle/SLU (Boylston),"June 1, 2020",-29%
I-5,King,I-5 at SODO (Holden),"June 1, 2020",-25%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"June 1, 2020",-41%
I-5,King,I-5 at King/Snohomish county line,"May 31, 2020",-54%
I-5,King,I-5 at Northgate,"May 31, 2020",-50%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 31, 2020",-69%
I-5,King,I-5 at SODO (Holden),"May 31, 2020",-51%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 31, 2020",-66%
I-5,King,I-5 at King/Snohomish county line,"May 30, 2020",-45%
I-5,King,I-5 at Northgate,"May 30, 2020",-26%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 30, 2020",-44%
I-5,King,I-5 at SODO (Holden),"May 30, 2020",-36%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 30, 2020",-67%
I-5,King,I-5 at King/Snohomish county line,"May 29, 2020",-9%
I-5,King,I-5 at Northgate,"May 29, 2020",-5%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 29, 2020",-42%
I-5,King,I-5 at SODO (Holden),"May 29, 2020",-25%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 29, 2020",-24%
I-5,King,I-5 at King/Snohomish county line,"May 28, 2020",-9%
I-5,King,I-5 at Northgate,"May 28, 2020",-8%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 28, 2020",-40%
I-5,King,I-5 at SODO (Holden),"May 28, 2020",-25%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 28, 2020",-27%
I-5,King,I-5 at King/Snohomish county line,"May 27, 2020",-8%
I-5,King,I-5 at Northgate,"May 27, 2020",-10%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 27, 2020",-36%
I-5,King,I-5 at SODO (Holden),"May 27, 2020",-18%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 27, 2020",-26%
I-5,King,I-5 at King/Snohomish county line,"May 26, 2020",-10%
I-5,King,I-5 at Northgate,"May 26, 2020",-9%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 26, 2020",-27%
I-5,King,I-5 at SODO (Holden),"May 26, 2020",-25%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 26, 2020",-23%
I-5,King,I-5 at King/Snohomish county line,"May 25, 2020",-28%
I-5,King,I-5 at Northgate,"May 25, 2020",-10%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 25, 2020",-41%
I-5,King,I-5 at SODO (Holden),"May 25, 2020",-34%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 25, 2020",-55%
I-5,King,I-5 at King/Snohomish county line,"May 24, 2020",-34%
I-5,King,I-5 at Northgate,"May 24, 2020",-18%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 24, 2020",-51%
I-5,King,I-5 at SODO (Holden),"May 24, 2020",-32%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 24, 2020",-64%
I-5,King,I-5 at King/Snohomish county line,"May 23, 2020",-22%
I-5,King,I-5 at Northgate,"May 23, 2020",-1%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 23, 2020",-34%
I-5,King,I-5 at SODO (Holden),"May 23, 2020",-25%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 23, 2020",-47%
I-5,King,I-5 at King/Snohomish county line,"May 22, 2020",-8%
I-5,King,I-5 at Northgate,"May 22, 2020",-4%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 22, 2020",-45%
I-5,King,I-5 at SODO (Holden),"May 22, 2020",-14%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 22, 2020",-32%
I-5,King,I-5 at King/Snohomish county line,"May 21, 2020",-16%
I-5,King,I-5 at Northgate,"May 21, 2020",-12%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 21, 2020",-49%
I-5,King,I-5 at SODO (Holden),"May 21, 2020",-20%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 21, 2020",-26%
I-5,King,I-5 at King/Snohomish county line,"May 20, 2020",-16%
I-5,King,I-5 at Northgate,"May 20, 2020",-9%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 20, 2020",-38%
I-5,King,I-5 at SODO (Holden),"May 20, 2020",-21%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 20, 2020",-32%
I-5,King,I-5 at King/Snohomish county line,"May 19, 2020",-19%
I-5,King,I-5 at Northgate,"May 19, 2020",-9%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 19, 2020",-40%
I-5,King,I-5 at SODO (Holden),"May 19, 2020",-16%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 19, 2020",-30%
I-5,King,I-5 at King/Snohomish county line,"May 18, 2020",-13%
I-5,King,I-5 at Northgate,"May 18, 2020",-8%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 18, 2020",-29%
I-5,King,I-5 at SODO (Holden),"May 18, 2020",-27%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 18, 2020",-33%
I-5,King,I-5 at King/Snohomish county line,"May 17, 2020",-33%
I-5,King,I-5 at Northgate,"May 17, 2020",-28%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 17, 2020",-53%
I-5,King,I-5 at SODO (Holden),"May 17, 2020",-41%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 17, 2020",-67%
I-5,King,I-5 at King/Snohomish county line,"May 16, 2020",-38%
I-5,King,I-5 at Northgate,"May 16, 2020",-16%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 16, 2020",-59%
I-5,King,I-5 at SODO (Holden),"May 16, 2020",-41%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 16, 2020",-66%
I-5,King,I-5 at King/Snohomish county line,"May 15, 2020",-16%
I-5,King,I-5 at Northgate,"May 15, 2020",-8%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 15, 2020",-48%
I-5,King,I-5 at SODO (Holden),"May 15, 2020",-25%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 15, 2020",-38%
I-5,King,I-5 at King/Snohomish county line,"May 14, 2020",-9%
I-5,King,I-5 at Northgate,"May 14, 2020",-10%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 14, 2020",-51%
I-5,King,I-5 at SODO (Holden),"May 14, 2020",-26%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 14, 2020",-29%
I-5,King,I-5 at King/Snohomish county line,"May 13, 2020",-7%
I-5,King,I-5 at Northgate,"May 13, 2020",-12%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 13, 2020",-45%
I-5,King,I-5 at SODO (Holden),"May 13, 2020",-20%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 13, 2020",-28%
I-5,King,I-5 at King/Snohomish county line,"May 12, 2020",-24%
I-5,King,I-5 at Northgate,"May 12, 2020",-15%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 12, 2020",-47%
I-5,King,I-5 at SODO (Holden),"May 12, 2020",-22%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 12, 2020",-26%
I-5,King,I-5 at King/Snohomish county line,"May 11, 2020",-10%
I-5,King,I-5 at Northgate,"May 11, 2020",-12%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 11, 2020",-45%
I-5,King,I-5 at SODO (Holden),"May 11, 2020",-25%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 11, 2020",-36%
I-5,King,I-5 at King/Snohomish county line,"May 10, 2020",-38%
I-5,King,I-5 at Northgate,"May 10, 2020",-16%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 10, 2020",-69%
I-5,King,I-5 at SODO (Holden),"May 10, 2020",-37%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 10, 2020",-66%
I-5,King,I-5 at King/Snohomish county line,"May 9, 2020",-32%
I-5,King,I-5 at Northgate,"May 9, 2020",-11%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 9, 2020",-56%
I-5,King,I-5 at SODO (Holden),"May 9, 2020",-39%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 9, 2020",-56%
I-5,King,I-5 at King/Snohomish county line,"May 8, 2020",-15%
I-5,King,I-5 at Northgate,"May 8, 2020",-16%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 8, 2020",-49%
I-5,King,I-5 at SODO (Holden),"May 8, 2020",-27%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 8, 2020",-35%
I-5,King,I-5 at King/Snohomish county line,"May 7, 2020",-16%
I-5,King,I-5 at Northgate,"May 7, 2020",-18%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 7, 2020",-50%
I-5,King,I-5 at SODO (Holden),"May 7, 2020",-25%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 7, 2020",-34%
I-5,King,I-5 at King/Snohomish county line,"May 6, 2020",-24%
I-5,King,I-5 at Northgate,"May 6, 2020",-20%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 6, 2020",-52%
I-5,King,I-5 at SODO (Holden),"May 6, 2020",-28%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 6, 2020",-38%
I-5,King,I-5 at King/Snohomish county line,"May 5, 2020",-16%
I-5,King,I-5 at Northgate,"May 5, 2020",-14%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 5, 2020",-48%
I-5,King,I-5 at SODO (Holden),"May 5, 2020",-25%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 5, 2020",-28%
I-5,King,I-5 at King/Snohomish county line,"May 4, 2020",-22%
I-5,King,I-5 at Northgate,"May 4, 2020",-19%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 4, 2020",-46%
I-5,King,I-5 at SODO (Holden),"May 4, 2020",-28%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 4, 2020",-34%
I-5,King,I-5 at King/Snohomish county line,"May 3, 2020",-47%
I-5,King,I-5 at Northgate,"May 3, 2020",-45%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 3, 2020",-79%
I-5,King,I-5 at SODO (Holden),"May 3, 2020",-50%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 3, 2020",-71%
I-5,King,I-5 at King/Snohomish county line,"May 2, 2020",-53%
I-5,King,I-5 at Northgate,"May 2, 2020",-35%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 2, 2020",-61%
I-5,King,I-5 at SODO (Holden),"May 2, 2020",-46%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 2, 2020",-69%
I-5,King,I-5 at King/Snohomish county line,"May 1, 2020",-29%
I-5,King,I-5 at Northgate,"May 1, 2020",-23%
I-5,King,I-5 at Seattle/SLU (Boylston),"May 1, 2020",-55%
I-5,King,I-5 at SODO (Holden),"May 1, 2020",-70%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"May 1, 2020",-42%
I-5,King,I-5 at King/Snohomish county line,"April 30, 2020",-22%
I-5,King,I-5 at Northgate,"April 30, 2020",-32%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 30, 2020",-55%
I-5,King,I-5 at SODO (Holden),"April 30, 2020",-46%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 30, 2020",-40%
I-5,King,I-5 at King/Snohomish county line,"April 29, 2020",-22%
I-5,King,I-5 at Northgate,"April 29, 2020",-25%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 29, 2020",-53%
I-5,King,I-5 at SODO (Holden),"April 29, 2020",-33%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 29, 2020",-35%
I-5,King,I-5 at King/Snohomish county line,"April 28, 2020",-41%
I-5,King,I-5 at Northgate,"April 28, 2020",-40%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 28, 2020",-38%
I-5,King,I-5 at SODO (Holden),"April 28, 2020",-20%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 28, 2020",-33%
I-5,King,I-5 at King/Snohomish county line,"April 27, 2020",-16%
I-5,King,I-5 at Northgate,"April 27, 2020",-23%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 27, 2020",-52%
I-5,King,I-5 at SODO (Holden),"April 27, 2020",-37%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 27, 2020",-36%
I-5,King,I-5 at King/Snohomish county line,"April 26, 2020",-51%
I-5,King,I-5 at Northgate,"April 26, 2020",-53%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 26, 2020",-80%
I-5,King,I-5 at SODO (Holden),"April 26, 2020",-53%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 26, 2020",-71%
I-5,King,I-5 at King/Snohomish county line,"April 25, 2020",-50%
I-5,King,I-5 at Northgate,"April 25, 2020",-43%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 25, 2020",-76%
I-5,King,I-5 at SODO (Holden),"April 25, 2020",-46%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 25, 2020",-71%
I-5,King,I-5 at King/Snohomish county line,"April 24, 2020",-24%
I-5,King,I-5 at Northgate,"April 24, 2020",-27%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 24, 2020",-58%
I-5,King,I-5 at SODO (Holden),"April 24, 2020",-41%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 24, 2020",-41%
I-5,King,I-5 at King/Snohomish county line,"April 23, 2020",-24%
I-5,King,I-5 at Northgate,"April 23, 2020",-28%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 23, 2020",-58%
I-5,King,I-5 at SODO (Holden),"April 23, 2020",-38%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 23, 2020",-39%
I-5,King,I-5 at King/Snohomish county line,"April 22, 2020",-31%
I-5,King,I-5 at Northgate,"April 22, 2020",-30%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 22, 2020",-55%
I-5,King,I-5 at SODO (Holden),"April 22, 2020",-37%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 22, 2020",-44%
I-5,King,I-5 at King/Snohomish county line,"April 21, 2020",-27%
I-5,King,I-5 at Northgate,"April 21, 2020",-28%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 21, 2020",-54%
I-5,King,I-5 at SODO (Holden),"April 21, 2020",-38%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 21, 2020",-42%
I-5,King,I-5 at King/Snohomish county line,"April 20, 2020",-24%
I-5,King,I-5 at Northgate,"April 20, 2020",-24%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 20, 2020",-54%
I-5,King,I-5 at SODO (Holden),"April 20, 2020",-38%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 20, 2020",-28%
I-5,King,I-5 at King/Snohomish county line,"April 19, 2020",-47%
I-5,King,I-5 at Northgate,"April 19, 2020",-26%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 19, 2020",-79%
I-5,King,I-5 at SODO (Holden),"April 19, 2020",-54%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 19, 2020",-69%
I-5,King,I-5 at King/Snohomish county line,"April 18, 2020",-48%
I-5,King,I-5 at Northgate,"April 18, 2020",-20%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 18, 2020",-69%
I-5,King,I-5 at SODO (Holden),"April 18, 2020",-51%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 18, 2020",-66%
I-5,King,I-5 at King/Snohomish county line,"April 17, 2020",-28%
I-5,King,I-5 at Northgate,"April 17, 2020",-25%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 17, 2020",-56%
I-5,King,I-5 at SODO (Holden),"April 17, 2020",-39%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 17, 2020",-33%
I-5,King,I-5 at King/Snohomish county line,"April 16, 2020",-23%
I-5,King,I-5 at Northgate,"April 16, 2020",-27%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 16, 2020",-53%
I-5,King,I-5 at SODO (Holden),"April 16, 2020",-41%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 16, 2020",-29%
I-5,King,I-5 at King/Snohomish county line,"April 15, 2020",-27%
I-5,King,I-5 at Northgate,"April 15, 2020",-30%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 15, 2020",-53%
I-5,King,I-5 at SODO (Holden),"April 15, 2020",-42%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 15, 2020",-35%
I-5,King,I-5 at King/Snohomish county line,"April 14, 2020",-24%
I-5,King,I-5 at Northgate,"April 14, 2020",-33%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 14, 2020",-56%
I-5,King,I-5 at SODO (Holden),"April 14, 2020",-45%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 14, 2020",-37%
I-5,King,I-5 at King/Snohomish county line,"April 13, 2020",-32%
I-5,King,I-5 at Northgate,"April 13, 2020",-37%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 13, 2020",-57%
I-5,King,I-5 at SODO (Holden),"April 13, 2020",-43%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 13, 2020",-41%
I-5,King,I-5 at King/Snohomish county line,"April 12, 2020",-55%
I-5,King,I-5 at Northgate,"April 12, 2020",-61%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 12, 2020",-84%
I-5,King,I-5 at SODO (Holden),"April 12, 2020",-58%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 12, 2020",-71%
I-5,King,I-5 at King/Snohomish county line,"April 11, 2020",-52%
I-5,King,I-5 at Northgate,"April 11, 2020",-40%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 11, 2020",-75%
I-5,King,I-5 at SODO (Holden),"April 11, 2020",-54%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 11, 2020",-63%
I-5,King,I-5 at King/Snohomish county line,"April 10, 2020",-31%
I-5,King,I-5 at Northgate,"April 10, 2020",-37%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 10, 2020",-62%
I-5,King,I-5 at SODO (Holden),"April 10, 2020",-49%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 10, 2020",-43%
I-5,King,I-5 at King/Snohomish county line,"April 9, 2020",-28%
I-5,King,I-5 at Northgate,"April 9, 2020",-52%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 9, 2020",-55%
I-5,King,I-5 at SODO (Holden),"April 9, 2020",-47%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 9, 2020",-38%
I-5,King,I-5 at King/Snohomish county line,"April 8, 2020",-23%
I-5,King,I-5 at Northgate,"April 8, 2020",-30%
I-5,King,I-5 at Seattle/SLU (Boylston),"April 8, 2020",-54%
I-5,King,I-5 at SODO (Holden),"April 8, 2020",-45%
I-5,King,I-5 at Federal Way (Enchanted Pkwy),"April 8, 2020",-41%
